gene_id	protein_id
G4P62_004122	KAF7230344.1
G4P62_004122	KAF7230345.1
G4P62_004122	KAF7230346.1
G4P62_004123	KAF7230347.1
G4P62_004123	KAF7230348.1
G4P62_004125	KAF7230349.1
G4P62_004126	KAF7230350.1
G4P62_004127	KAF7230351.1
G4P62_004127	KAF7230352.1
G4P62_004128	KAF7230353.1
G4P62_004128	KAF7230354.1
G4P62_004128	KAF7230355.1
G4P62_004128	KAF7230356.1
G4P62_004128	KAF7230357.1
G4P62_004129	KAF7230358.1
G4P62_019974	KAF7231773.1
G4P62_019975	KAF7231774.1
G4P62_019293	KAF7231699.1
G4P62_019293	KAF7231700.1
G4P62_019293	KAF7231701.1
G4P62_019293	KAF7231702.1
G4P62_019294	KAF7231703.1
G4P62_019294	KAF7231704.1
G4P62_019541	KAF7231725.1
G4P62_009682	KAF7231481.1
G4P62_018611	KAF7231604.1
G4P62_018612	KAF7231605.1
G4P62_018612	KAF7231606.1
G4P62_019581	KAF7231730.1
G4P62_003953	KAF7230053.1
G4P62_003953	KAF7230054.1
G4P62_003954	KAF7230055.1
G4P62_003955	KAF7230056.1
G4P62_003956	KAF7230057.1
G4P62_003956	KAF7230058.1
G4P62_003956	KAF7230059.1
G4P62_003956	KAF7230062.1
G4P62_003956	KAF7230063.1
G4P62_003956	KAF7230060.1
G4P62_003956	KAF7230061.1
G4P62_003957	KAF7230064.1
G4P62_003957	KAF7230065.1
G4P62_003957	KAF7230066.1
G4P62_003957	KAF7230067.1
G4P62_003958	KAF7230068.1
G4P62_003959	KAF7230069.1
G4P62_003959	KAF7230070.1
G4P62_003959	KAF7230071.1
G4P62_003959	KAF7230072.1
G4P62_003959	KAF7230073.1
G4P62_003960	KAF7230074.1
G4P62_003961	KAF7230075.1
G4P62_003961	KAF7230076.1
G4P62_003961	KAF7230077.1
G4P62_003961	KAF7230078.1
G4P62_003962	KAF7230079.1
G4P62_003962	KAF7230080.1
G4P62_003963	KAF7230081.1
G4P62_003964	KAF7230082.1
G4P62_003965	KAF7230083.1
G4P62_003965	KAF7230084.1
G4P62_016281	KAF7231483.1
G4P62_003966	KAF7230085.1
G4P62_003967	KAF7230086.1
G4P62_003967	KAF7230087.1
G4P62_003967	KAF7230088.1
G4P62_003968	KAF7230089.1
G4P62_003968	KAF7230090.1
G4P62_003969	KAF7230091.1
G4P62_003970	KAF7230092.1
G4P62_003971	KAF7230093.1
G4P62_003972	KAF7230094.1
G4P62_003973	KAF7230095.1
G4P62_003974	KAF7230096.1
G4P62_003975	KAF7230097.1
G4P62_003975	KAF7230098.1
G4P62_003975	KAF7230099.1
G4P62_003976	KAF7230100.1
G4P62_003977	KAF7230101.1
G4P62_003977	KAF7230102.1
G4P62_003978	KAF7230103.1
G4P62_003979	KAF7230104.1
G4P62_003980	KAF7230105.1
G4P62_003981	KAF7230106.1
G4P62_003982	KAF7230107.1
G4P62_003983	KAF7230108.1
G4P62_003984	KAF7230109.1
G4P62_003985	KAF7230110.1
G4P62_003986	KAF7230111.1
G4P62_003987	KAF7230112.1
G4P62_003987	KAF7230113.1
G4P62_003988	KAF7230114.1
G4P62_003989	KAF7230115.1
G4P62_003989	KAF7230116.1
G4P62_003990	KAF7230117.1
G4P62_003991	KAF7230118.1
G4P62_003992	KAF7230119.1
G4P62_003992	KAF7230120.1
G4P62_003992	KAF7230121.1
G4P62_003992	KAF7230122.1
G4P62_003992	KAF7230123.1
G4P62_003992	KAF7230124.1
G4P62_003992	KAF7230125.1
G4P62_003992	KAF7230126.1
G4P62_003992	KAF7230127.1
G4P62_003993	KAF7230128.1
G4P62_003993	KAF7230129.1
G4P62_003993	KAF7230130.1
G4P62_003993	KAF7230131.1
G4P62_003993	KAF7230132.1
G4P62_003993	KAF7230133.1
G4P62_003993	KAF7230134.1
G4P62_003993	KAF7230135.1
G4P62_003993	KAF7230136.1
G4P62_003993	KAF7230137.1
G4P62_003993	KAF7230138.1
G4P62_003993	KAF7230139.1
G4P62_003993	KAF7230140.1
G4P62_003993	KAF7230141.1
G4P62_003993	KAF7230142.1
G4P62_003993	KAF7230143.1
G4P62_003993	KAF7230144.1
G4P62_003994	KAF7230145.1
G4P62_003994	KAF7230146.1
G4P62_003994	KAF7230147.1
G4P62_003995	KAF7230148.1
G4P62_003995	KAF7230149.1
G4P62_003995	KAF7230150.1
